Numero,Nombre,Direccion,Diesel,Magna,Premium,Latitud,Longitud
PL/3302/EXP/ES/2015,GASOLINERA LA MINA S.A. DE C.V.,Avenida Lázaro Cárdenas No. 209,28.89,23.3,28.19,29.0524692,-110.9768825
PL/3304/EXP/ES/2015,POWER GAS S.A. DE C.V.,Boulevard Libertad Esquina Salida a Guaymas,28.89,23.3,28.19,27.9110633,-110.9090678
PL/3308/EXP/ES/2015,AUTOSERVICIO LA CANDELARIA S.A. DE C.V.,Boulevard Progreso No. 258,28.89,23.3,28.19,29.1454187,-110.9741699
PL/3350/EXP/ES/2015,SERVICIOS Z3 S.A. DE C.V.,Boulevard Ignacio Salazar S/N,,23.99,29.99,29.1166092,-110.9930715
PL/3438/EXP/ES/2015,SERVICIOS Z3 S.A. DE C.V.,Ángel García Aburto Y Dr. Domingo Olivares,,23.99,29.99,29.1090564,-110.9801723
PL/3445/EXP/ES/2015,SERVICIOS Z3 S.A. DE C.V.,Boulevard Solidaridad S/N,,23.99,29.99,29.1021753,-110.992223
PL/3455/EXP/ES/2015,CORPORATIVO ENERVISION S A P I DE CV,Boulevard José María Morelos No. 329,,24.39,29.99,29.1181932,-110.9507772
PL/3472/EXP/ES/2015,SERVICIOS Z3 SA DE CV,General Pina Esquina José S. Healy No. 175,,23.99,29.99,29.1015707,-110.9642551
PL/3482/EXP/ES/2015,SERVICIOS Z3 SA DE CV,Boulevard Ignacio Salazar No. 860,,23.99,29.99,29.1164317,-111.0051645
PL/3655/EXP/ES/2015,AUTO SERVICIO LORI S.A. DE C.V.,Carretera a La Colorada Km 3.5 Esquina Planetario,29.99,24.39,29.99,29.013417,-110.9229322
PL/3707/EXP/ES/2015,HERMOL GASOLINERA S.A. DE C.V.,Boulevard José María Morelos No. 732,,23.96,29.94,29.1342529,-110.953707
PL/3721/EXP/ES/2015,COMBUSTIBLES Y SERVICIOS HAV S.A. DE C.V.,Boulevard Luis Donaldo Colosio Esquina Con Boulevard Antonio Q.,29.99,23.99,29.99,29.0817937,-111.0226598
PL/3732/EXP/ES/2015,COMBUSTIBLES Y SERVICIOS LPSA S.A. DE C.V.,Boulevard José López Portillo 437 Esquina Simon Bley,29.99,23.99,29.99,29.1241839,-110.9805355
PL/3743/EXP/ES/2015,ESTACIÓN DE SERVICIO LAS PALMAS S.A. DE C.V.,Perimetral Norte No. 1107,,23.49,28.99,29.1099995,-110.9986814
PL/3988/EXP/ES/2015,ESTACIÓN PIRU S.A. DE C.V.,Boulevard Solidaridad Y Avenida Pueblo Alamos No. 630,,23.49,28.99,29.1054156,-110.9922616
PL/3989/EXP/ES/2015,ESTACIÓN PIRU S.A. DE C.V.,Boulevard Camino del Seri S/N,,23.49,28.99,29.0628371,-110.9937297
PL/3991/EXP/ES/2015,ESTACIÓN PIRU S.A. DE C.V.,Boulevard García Morales No. 471,,23.49,28.79,29.0955504,-111.0161417
PL/3992/EXP/ES/2015,ESTACIÓN PIRU S.A. DE C.V.,Periférico Norte No. 1,,23.99,28.79,29.1117414,-110.9685796
PL/3995/EXP/ES/2015,ESTACIÓN PIRU S.A. DE C.V.,Boulevard Agustin Vildosola Y Avenida Comonfort S/N,,23.49,28.99,29.0619806,-110.9543955
PL/3996/EXP/ES/2015,REFORMA GASOLINERA S.A. DE C.V.,Avenida Reforma S/N,29.99,23.99,29.99,29.1091644,-110.95741
PL/4068/EXP/ES/2015,GASOLINERA SAN JAVIER S.A. DE C.V.,Boulevard José Alberto Healy Noriega No. 1062,28.49,23.85,28.99,29.1503283,-110.9969332
PL/4089/EXP/ES/2015,SERVICIO EL FARO S.A. DE C.V.,Boulevard Francisco Eusebio Kino No. 1098,29.99,23.99,29.99,29.0977526,-110.9314072
PL/4190/EXP/ES/2015,CAMINO REAL GASOLINERA S.A. DE C.V.,Carretera 4 Carriles Hillo-Nogales,29.99,23.99,29.99,29.0729673,-110.9559192
PL/4197/EXP/ES/2015,GASOLINERA CR SATELITE DE HERMOSILLO S.A. DE C.V.,Boulevard Luis Encinas No. 454,,23.99,29.99,29.0929612,-110.9774596
PL/4272/EXP/ES/2015,ESTACIÓN PIRU S.A. DE C.V.,Boulevard Luis Encinas Y Manuel R. Bobadilla S/N.,,23.99,28.99,29.1308551,-110.9964555
PL/4496/EXP/ES/2015,GRUPO LESTEF S.A. DE C.V.,Boulevard José María Morelos No. 694,,23.99,29.99,29.1328269,-110.9531865
PL/4608/EXP/ES/2015,GASOLINERA Y SERVICIO PITIC S.A. DE C.V.,Calle de La Reforma S/N,,23.0,28.0,29.1039943,-110.9691878
PL/4854/EXP/ES/2015,ESTACIÓN PIRU S.A. DE C.V.,Nayarit Esquina Simon Bley,,23.99,28.99,29.1129495,-110.9804884
PL/4931/EXP/ES/2015,"ESTACION PIRU, S.A. DE C.V.",Avenida Nayarit Y Reyes No. 113,,23.99,28.99,29.0943898,-110.9606812
PL/5086/EXP/ES/2015,GASOLINERA MAZA DE JUÁREZ S.A. DE C.V.,Avenida Margarita Maza de Juárez No. 599,,23.99,29.99,29.129353,-110.9895263
